Sample.IDs,scientific_name,study_title,High.level.variety,High.level.tissue,High.level.age,High.level.stress.disease,Variety,Tissue,Age,Stress.disease,Comments,DOI,Intermediate,Intermediate_Stress_merged_control,Intermediate_Stress
Sample_10,Triticum aestivum,Development,BCS cv-1,roots,seedling,none,BCS cv-1,radicle,Seedling stage,none,NA,NA,roots,NA,NA
Sample_18,Triticum aestivum,Development,BCS cv-1,roots,seedling,none,BCS cv-1,radicle,Seedling stage,none,NA,NA,roots,NA,NA
Sample_3A,Triticum aestivum,Development,BCS cv-1,roots,seedling,none,BCS cv-1,radicle,Seedling stage,none,NA,NA,roots,NA,NA
Sample_12,Triticum aestivum,Development,BCS cv-1,leaves/shoots,seedling,none,BCS cv-1,coleoptile,Seedling stage,none,NA,NA,seedling aerial tissues,NA,NA
Sample_26,Triticum aestivum,Development,BCS cv-1,leaves/shoots,seedling,none,BCS cv-1,coleoptile,Seedling stage,none,NA,NA,seedling aerial tissues,NA,NA
Sample_6A,Triticum aestivum,Development,BCS cv-1,leaves/shoots,seedling,none,BCS cv-1,coleoptile,Seedling stage,none,NA,NA,seedling aerial tissues,NA,NA
Sample_11,Triticum aestivum,Development,BCS cv-1,leaves/shoots,seedling,none,BCS cv-1,stem axis,Seedling stage,none,NA,NA,seedling aerial tissues,NA,NA
Sample_20,Triticum aestivum,Development,BCS cv-1,leaves/shoots,seedling,none,BCS cv-1,stem axis,Seedling stage,none,NA,NA,seedling aerial tissues,NA,NA
Sample_9A,Triticum aestivum,Development,BCS cv-1,leaves/shoots,seedling,none,BCS cv-1,stem axis,Seedling stage,none,NA,NA,seedling aerial tissues,NA,NA
Sample_10R1,Triticum aestivum,Development,BCS cv-1,leaves/shoots,seedling,none,BCS cv-1,first leaf sheath,Seedling stage,none,NA,NA,seedling aerial tissues,NA,NA
Sample_21,Triticum aestivum,Development,BCS cv-1,leaves/shoots,seedling,none,BCS cv-1,first leaf sheath,Seedling stage,none,NA,NA,seedling aerial tissues,NA,NA
Sample_30,Triticum aestivum,Development,BCS cv-1,leaves/shoots,seedling,none,BCS cv-1,first leaf sheath,Seedling stage,none,NA,NA,seedling aerial tissues,NA,NA
Sample_13R1,Triticum aestivum,Development,BCS cv-1,leaves/shoots,seedling,none,BCS cv-1,first leaf blade,Seedling stage,none,NA,NA,seedling aerial tissues,NA,NA
Sample_23,Triticum aestivum,Development,BCS cv-1,leaves/shoots,seedling,none,BCS cv-1,first leaf blade,Seedling stage,none,NA,NA,seedling aerial tissues,NA,NA
Sample_32,Triticum aestivum,Development,BCS cv-1,leaves/shoots,seedling,none,BCS cv-1,first leaf blade,Seedling stage,none,NA,NA,seedling aerial tissues,NA,NA
Sample_13,Triticum aestivum,Development,BCS cv-1,roots,seedling,none,BCS cv-1,roots,Seedling stage,none,NA,NA,roots,NA,NA
