Chr	Start	End	Strand	Gene	TriadGrp
chr1A	1107796	1111547	-	TraesLAC1A03G00001180	9058
chr1A	1112305	1116635	-	TraesLAC1A03G00001190	10176
chr1A	1118702	1125640	+	TraesLAC1A03G00001200	12713
chr1A	1136848	1138877	+	TraesLAC1A03G00001230	13574
chr1A	1157308	1160265	-	TraesLAC1A03G00001280	10012
chr1A	1179745	1185794	-	TraesLAC1A03G00001300	14143
chr1A	1284238	1295581	-	TraesLAC1A03G00001360	11319
chr1A	1573614	1575782	+	TraesLAC1A03G00001580	17637
chr1A	1589015	1593016	-	TraesLAC1A03G00001600	13635
chr1A	1595457	1600813	+	TraesLAC1A03G00001610	3261
chr1A	1696676	1699186	+	TraesLAC1A03G00001680	17143
chr1A	2162476	2163039	+	TraesLAC1A03G00002030	13591
chr1A	2162476	2163039	+	TraesLAC1A03G00002030	13591
chr1A	2178202	2191104	+	TraesLAC1A03G00002050	11318
chr1A	2194117	2196770	+	TraesLAC1A03G00002060	11230
chr1A	2630355	2631739	-	TraesLAC1A03G00002350	13511
chr1A	2632191	2638894	-	TraesLAC1A03G00002360	3247
chr1A	5682913	5690461	+	TraesLAC1A03G00004370	6893
chr1A	5692826	5698664	-	TraesLAC1A03G00004380	9628
chr1A	5813535	5820218	+	TraesLAC1A03G00004420	4980
chr1A	5953427	5956043	+	TraesLAC1A03G00004490	4340
chr1A	6060487	6083345	-	TraesLAC1A03G00004520	15943
chr1A	6060487	6083345	-	TraesLAC1A03G00004520	15943
chr1A	6529576	6533823	+	TraesLAC1A03G00004760	2116
chr1A	6529576	6533823	+	TraesLAC1A03G00004760	2116
chr1A	6529576	6533823	+	TraesLAC1A03G00004760	2116
chr1A	7529057	7537097	-	TraesLAC1A03G00005280	12888
chr1A	7548925	7551757	+	TraesLAC1A03G00005300	1690
chr1A	8146610	8149806	+	TraesLAC1A03G00005640	6569
chr1A	8146610	8149806	+	TraesLAC1A03G00005640	6569
chr1A	8170624	8174149	+	TraesLAC1A03G00005660	8399
chr1A	8170624	8174149	+	TraesLAC1A03G00005660	8399
chr1A	8617222	8621419	-	TraesLAC1A03G00006080	9805
chr1A	8628990	8635716	+	TraesLAC1A03G00006090	11433
chr1A	9746243	9749025	-	TraesLAC1A03G00006380	235
chr1A	11066346	11068505	-	TraesLAC1A03G00007380	16572
