group_id,family_name,origin,chrs,cardinality_formal,cardinality_abs,A,B,D,synteny,TE,HC.LC,source
227,OG0021509,ABD,7,1:1:1,1:1:1,TraesCS7A01G243100,TraesCS7B01G148400,TraesCS7D01G241900,segmental homeologs,NA,HC-only,"OrthoFinder SO,BLAST RBH,DAGchainer,i-ADHoRe,MCScanX"
253,OG0021212,ABD,7,1:1:1,1:1:1,TraesCS7A01G360600,TraesCS7B01G267100,TraesCS7D01G362400,segmental homeologs,NA,HC-only,"OrthoFinder SO,BLAST RBH,i-ADHoRe,MCScanX"
255,OG0021210,ABD,7,1:1:1,1:1:1,TraesCS7A01G267100,TraesCS7B01G165300,TraesCS7D01G267800,segmental homeologs,NA,HC-only,"OrthoFinder SO,BLAST RBH,i-ADHoRe"
259,OG0021208,ABD,7,1:1:1,1:1:1,TraesCS7A01G235400,TraesCS7B01G133600,TraesCS7D01G235500,segmental homeologs,NA,HC-only,"OrthoFinder SO,BLAST RBH,i-ADHoRe,MCScanX"
263,OG0021206,ABD,7,1:1:1,1:1:1,TraesCS7A01G185200,TraesCS7B01G090200,TraesCS7D01G186600,segmental homeologs,NA,HC-only,"OrthoFinder SO,BLAST RBH,DAGchainer"
269,OG0021202,ABD,7,1:1:1,1:1:1,TraesCS7A01G155800,TraesCS7B01G059900,TraesCS7D01G156200,segmental homeologs,NA,HC-only,"OrthoFinder SO,BLAST RBH,DAGchainer,MCScanX"
293,OG0021221,ABD,7,1:1:1,1:1:1,TraesCS7A01G542500,TraesCS7B01G464400,TraesCS7D01G527700,segmental homeologs,NA,HC-only,"OrthoFinder SO,BLAST RBH,i-ADHoRe"
378,OG0021219,ABD,7,1:1:1,1:1:1,TraesCS7A01G496300,TraesCS7B01G401100,TraesCS7D01G483500,segmental homeologs,NA,HC-only,"OrthoFinder SO,BLAST RBH,DAGchainer,i-ADHoRe"
382,OG0021209,ABD,7,1:1:1,1:1:1,TraesCS7A01G275800,TraesCS7B01G173500,TraesCS7D01G275700,segmental homeologs,NA,HC-only,"OrthoFinder SO,BLAST RBH,DAGchainer,i-ADHoRe"
383,OG0021207,ABD,7,1:1:1,1:1:1,TraesCS7A01G210700,TraesCS7B01G117400,TraesCS7D01G212400,segmental homeologs,NA,HC-only,"OrthoFinder SO,BLAST RBH,i-ADHoRe"
402,OG0021130,ABD,4,1:1:1,1:1:1,TraesCS4A01G184700,TraesCS4B01G134000,TraesCS4D01G128900,segmental homeologs,NA,HC-only,"OrthoFinder SO,BLAST RBH,MCScanX"
406,OG0021181,ABD,6,1:1:1,1:1:1,TraesCS6A01G182900,TraesCS6B01G211700,TraesCS6D01G170300,segmental homeologs,NA,HC-only,"OrthoFinder SO,BLAST RBH,i-ADHoRe,MCScanX"
408,OG0021113,ABD,3,1:1:1,1:1:1,TraesCS3A01G349600,TraesCS3B01G382200,TraesCS3D01G343600,segmental homeologs,NA,HC-only,"OrthoFinder SO,BLAST RBH,DAGchainer,i-ADHoRe"
412,OG0021172,ABD,45,1:1:1,1:1:1,TraesCS5A01G531900,TraesCS4B01G363600,TraesCS4D01G357000,segmental homeologs,NA,HC-only,"OrthoFinder SO,BLAST RBH,DAGchainer,i-ADHoRe,MCScanX"
413,OG0021169,ABD,5,1:1:1,1:1:1,TraesCS5A01G461200,TraesCS5B01G471300,TraesCS5D01G473800,segmental homeologs,NA,HC-only,"OrthoFinder SO,BLAST RBH,i-ADHoRe,MCScanX"
420,OG0021164,ABD,5,1:1:1,1:1:1,TraesCS5A01G303500,TraesCS5B01G303900,TraesCS5D01G310400,segmental homeologs,NA,HC-only,"OrthoFinder SO,BLAST RBH,DAGchainer,i-ADHoRe,MCScanX"
433,OG0021156,ABD,5,1:1:1,1:1:1,TraesCS5A01G175800,TraesCS5B01G172400,TraesCS5D01G179500,segmental homeologs,NA,HC-only,"OrthoFinder SO,BLAST RBH,i-ADHoRe"
436,OG0021153,ABD,5,1:1:1,1:1:1,TraesCS5A01G151600,TraesCS5B01G150200,TraesCS5D01G156800,segmental homeologs,NA,HC-only,"OrthoFinder SO,BLAST RBH,i-ADHoRe"
437,OG0021160,ABD,5,1:1:1,1:1:1,TraesCS5A01G246200,TraesCS5B01G243500,TraesCS5D01G252700,segmental homeologs,NA,HC-only,"OrthoFinder SO,BLAST RBH,i-ADHoRe,MCScanX"
443,OG0021144,ABD,5,1:1:1,1:1:1,TraesCS5A01G012700,TraesCS5B01G011000,TraesCS5D01G018200,segmental homeologs,NA,HC-only,"OrthoFinder SO,BLAST RBH,i-ADHoRe,MCScanX"
446,OG0021154,ABD,5,1:1:1,1:1:1,TraesCS5A01G166900,TraesCS5B01G164000,TraesCS5D01G171200,segmental homeologs,NA,HC-only,"OrthoFinder SO,BLAST RBH,i-ADHoRe"
451,OG0021118,ABD,3,1:1:1,1:1:1,TraesCS3A01G462400,TraesCS3B01G505400,TraesCS3D01G456100,segmental homeologs,NA,HC-only,"OrthoFinder SO,BLAST RBH,DAGchainer,i-ADHoRe,MCScanX"
457,OG0021152,ABD,5,1:1:1,1:1:1,TraesCS5A01G150400,TraesCS5B01G149100,TraesCS5D01G155500,segmental homeologs,NA,HC-only,"OrthoFinder SO,BLAST RBH,DAGchainer,i-ADHoRe"
458,OG0021112,ABD,3,1:1:1,1:1:1,TraesCS3A01G285300,TraesCS3B01G319200,TraesCS3D01G285200,segmental homeologs,NA,HC-only,"OrthoFinder SO,BLAST RBH,DAGchainer,i-ADHoRe"
459,OG0021109,ABD,3,1:1:1,1:1:1,TraesCS3A01G237900,TraesCS3B01G266300,TraesCS3D01G238100,segmental homeologs,NA,HC-only,"OrthoFinder SO,BLAST RBH,DAGchainer"
470,OG0021136,ABD,4,1:1:1,1:1:1,TraesCS4A01G231300,TraesCS4B01G084700,TraesCS4D01G082600,segmental homeologs,NA,HC-only,"OrthoFinder SO,BLAST RBH,i-ADHoRe,MCScanX"
474,OG0021117,ABD,3,1:1:1,1:1:1,TraesCS3A01G440700,TraesCS3B01G474800,TraesCS3D01G433300,segmental homeologs,NA,HC-only,"OrthoFinder SO,BLAST RBH,DAGchainer,i-ADHoRe,MCScanX"
482,OG0021042,ABD,1,1:1:1,1:1:1,TraesCS1A01G020300,TraesCS1B01G024300,TraesCS1D01G019800,segmental homeologs,NA,HC-only,"OrthoFinder SO,BLAST RBH,DAGchainer,i-ADHoRe,MCScanX"
497,OG0021048,ABD,1,1:1:1,1:1:1,TraesCS1A01G117100,TraesCS1B01G137000,TraesCS1D01G118200,segmental homeologs,NA,HC-only,"OrthoFinder SO,BLAST RBH,i-ADHoRe"
503,OG0021044,ABD,1,1:1:1,1:1:1,TraesCS1A01G029400,TraesCS1B01G036600,TraesCS1D01G029600,segmental homeologs,NA,HC-only,"OrthoFinder SO,BLAST RBH,DAGchainer,MCScanX"
562,OG0021081,ABD,2,1:1:1,1:1:1,TraesCS2A01G324400,TraesCS2B01G357800,TraesCS2D01G338600,segmental homeologs,NA,HC-only,"OrthoFinder SO,BLAST RBH,i-ADHoRe"
566,OG0021093,ABD,2,1:1:1,1:1:1,TraesCS2A01G517700,TraesCS2B01G546200,TraesCS2D01G519200,segmental homeologs,NA,HC-only,"OrthoFinder SO,BLAST RBH,i-ADHoRe"
575,OG0021080,ABD,2,1:1:1,1:1:1,TraesCS2A01G313400,TraesCS2B01G332200,TraesCS2D01G311900,segmental homeologs,NA,HC-only,"OrthoFinder SO,BLAST RBH,i-ADHoRe,MCScanX"
590,OG0021077,ABD,2,1:1:1,1:1:1,TraesCS2A01G266900,TraesCS2B01G275500,TraesCS2D01G257100,segmental homeologs,NA,HC-only,"OrthoFinder SO,BLAST RBH,i-ADHoRe,MCScanX"
598,OG0021070,ABD,2,1:1:1,1:1:1,TraesCS2A01G093300,TraesCS2B01G107800,TraesCS2D01G092300,segmental homeologs,NA,HC-only,"OrthoFinder SO,i-ADHoRe"
638,OG0021047,ABD,1,1:1:1,1:1:1,TraesCS1A01G105100,TraesCS1B01G116600,TraesCS1D01G097300,segmental homeologs,NA,HC-only,"OrthoFinder SO,BLAST RBH,DAGchainer,i-ADHoRe"
666,OG0020809,ABD,6,1:1:1,1:1:1,TraesCS6A01G204700,TraesCS6B01G225900,TraesCS6D01G189900,segmental homeologs,NA,HC-only,"OrthoFinder SO,BLAST RBH,i-ADHoRe"
677,OG0020807,ABD,5,1:1:1,1:1:1,TraesCS5A01G383500,TraesCS5B01G388100,TraesCS5D01G392800,segmental homeologs,NA,HC-only,"OrthoFinder SO,BLAST RBH,i-ADHoRe"
683,OG0020808,ABD,45,1:1:1,1:1:1,TraesCS5A01G531100,TraesCS4B01G362900,TraesCS4D01G356100,segmental homeologs,NA,HC-only,"OrthoFinder SO,BLAST RBH,DAGchainer,i-ADHoRe,MCScanX"
733,OG0020796,ABD,4,1:1:1,1:1:1,TraesCS4A01G222300,TraesCS4B01G094300,TraesCS4D01G091100,segmental homeologs,NA,HC-only,"OrthoFinder SO,BLAST RBH,DAGchainer,i-ADHoRe"
739,OG0020746,ABD,2,1:1:1,1:1:1,TraesCS2A01G362300,TraesCS2B01G380100,TraesCS2D01G359800,segmental homeologs,NA,HC-only,"OrthoFinder SO,BLAST RBH,i-ADHoRe"
745,OG0020729,ABD,4,1:1:1,1:1:1,TraesCS4A01G223100,TraesCS4B01G092800,TraesCS4D01G089500,segmental homeologs,NA,HC-only,"OrthoFinder SO,BLAST RBH,i-ADHoRe"
766,OG0020786,ABD,2,1:1:1,1:1:1,TraesCS2A01G155000,TraesCS2B01G180100,TraesCS2D01G160300,segmental homeologs,NA,HC-only,"OrthoFinder SO,BLAST RBH,DAGchainer,i-ADHoRe"
770,OG0020784,ABD,1,1:1:1,1:1:1,TraesCS1A01G269700,TraesCS1B01G280200,TraesCS1D01G269800,segmental homeologs,NA,HC-only,"OrthoFinder SO,BLAST RBH,DAGchainer,i-ADHoRe,MCScanX"
803,OG0020709,ABD,3,1:1:1,1:1:1,TraesCS3A01G491600,TraesCS3B01G552600,TraesCS3D01G497600,segmental homeologs,NA,HC-only,"OrthoFinder SO,BLAST RBH,i-ADHoRe,MCScanX"
