Chr	Start	End	Strand	Gene	TriadGrp
chr1A	4236179	4239838	-	TraesNOR1A03G00002220	9058
chr1A	4240694	4244944	-	TraesNOR1A03G00002230	10176
chr1A	4246961	4253985	+	TraesNOR1A03G00002240	12713
chr1A	4265257	4267235	+	TraesNOR1A03G00002270	13574
chr1A	4285775	4288744	-	TraesNOR1A03G00002330	10012
chr1A	4307138	4313177	-	TraesNOR1A03G00002350	14143
chr1A	4411108	4422472	-	TraesNOR1A03G00002410	11319
chr1A	7084849	7092738	+	TraesNOR1A03G00003880	6893
chr1A	7096088	7102095	-	TraesNOR1A03G00003890	9628
chr1A	7134644	7141079	+	TraesNOR1A03G00003900	4980
chr1A	7207368	7210650	+	TraesNOR1A03G00003910	4340
chr1A	7207368	7210650	+	TraesNOR1A03G00003910	4340
chr1A	8560299	8567048	+	TraesNOR1A03G00004800	3247
chr1A	8560299	8567048	+	TraesNOR1A03G00004800	3247
chr1A	8817190	8817968	-	TraesNOR1A03G00004990	8333
chr1A	8843653	8846613	-	TraesNOR1A03G00005040	11230
chr1A	8853235	8865842	-	TraesNOR1A03G00005050	11318
chr1A	8883326	8883905	-	TraesNOR1A03G00005080	13591
chr1A	9239882	9242392	-	TraesNOR1A03G00005350	17143
chr1A	9258263	9263614	-	TraesNOR1A03G00005380	3261
chr1A	9299749	9301905	-	TraesNOR1A03G00005420	17637
chr1A	9364238	9366049	+	TraesNOR1A03G00005490	16143
chr1A	10097999	10102103	+	TraesNOR1A03G00005850	9805
chr1A	11144823	11148364	-	TraesNOR1A03G00006490	15761
chr1A	11175136	11178652	-	TraesNOR1A03G00006550	8399
chr1A	11235999	11238615	-	TraesNOR1A03G00006600	6569
chr1A	11961358	11964665	-	TraesNOR1A03G00007050	235
chr1A	12798339	12806366	-	TraesNOR1A03G00007550	12888
chr1A	12807786	12810573	+	TraesNOR1A03G00007560	1690
chr1A	13378794	13386692	+	TraesNOR1A03G00007930	10692
chr1A	13474287	13478124	+	TraesNOR1A03G00008020	8247
chr1A	13620158	13624063	+	TraesNOR1A03G00008120	14491
chr1A	13948708	13951222	-	TraesNOR1A03G00008420	8627
chr1A	13963733	13968795	-	TraesNOR1A03G00008450	12884
chr1A	14249745	14254771	-	TraesNOR1A03G00008760	691
chr1A	14262249	14268326	+	TraesNOR1A03G00008780	15437
chr1A	14269747	14271253	+	TraesNOR1A03G00008800	1199
chr1A	15553354	15560578	+	TraesNOR1A03G00009590	14772
chr1A	15717184	15722219	+	TraesNOR1A03G00009740	16772
chr1A	15771975	15782598	+	TraesNOR1A03G00009760	11111
chr1A	15862190	15864402	-	TraesNOR1A03G00009860	11486
chr1A	16487049	16488428	-	TraesNOR1A03G00010060	17760
