Chr	Start	End	Strand	Gene	TriadGrp
chr1A	5047926	5059628	+	TraesARI1A03G00001500	11319
chr1A	5141502	5147584	+	TraesARI1A03G00001550	14143
chr1A	5158156	5161165	+	TraesARI1A03G00001570	10012
chr1A	5158156	5161165	+	TraesARI1A03G00001570	10012
chr1A	5158156	5161165	+	TraesARI1A03G00001570	10012
chr1A	5178242	5185482	-	TraesARI1A03G00001640	12713
chr1A	5192993	5196336	+	TraesARI1A03G00001660	9058
chr1A	5192993	5196336	+	TraesARI1A03G00001660	9058
chr1A	7105011	7107928	-	TraesARI1A03G00002400	4340
chr1A	7174017	7180397	-	TraesARI1A03G00002410	4980
chr1A	7209453	7215768	+	TraesARI1A03G00002420	9628
chr1A	7219013	7226725	-	TraesARI1A03G00002430	6893
chr1A	9646355	9653000	+	TraesARI1A03G00003780	3247
chr1A	9646355	9653000	+	TraesARI1A03G00003780	3247
chr1A	9950364	9951053	-	TraesARI1A03G00003970	8333
chr1A	10112337	10125225	+	TraesARI1A03G00004160	11318
chr1A	10133319	10136132	+	TraesARI1A03G00004170	11230
chr1A	10593799	10596225	-	TraesARI1A03G00004390	17143
chr1A	10648587	10653949	-	TraesARI1A03G00004470	3261
chr1A	10656384	10660403	+	TraesARI1A03G00004480	13635
chr1A	10673312	10675435	-	TraesARI1A03G00004500	17637
chr1A	10729597	10731352	+	TraesARI1A03G00004560	16143
chr1A	11518623	11525180	-	TraesARI1A03G00004780	11433
chr1A	11793384	11796397	-	TraesARI1A03G00005060	15761
chr1A	12006355	12014321	-	TraesARI1A03G00005180	10692
chr1A	12872086	12880054	-	TraesARI1A03G00005770	12888
chr1A	12881482	12884351	+	TraesARI1A03G00005780	1690
chr1A	12972176	12976555	-	TraesARI1A03G00005870	11745
chr1A	13129993	13132712	+	TraesARI1A03G00005980	6569
chr1A	13221033	13224592	+	TraesARI1A03G00006030	8399
chr1A	13365187	13368662	+	TraesARI1A03G00006200	8247
chr1A	13365187	13368662	+	TraesARI1A03G00006200	8247
chr1A	13603446	13607226	+	TraesARI1A03G00006350	14491
chr1A	13959615	13961932	-	TraesARI1A03G00006610	8627
chr1A	13986636	13991348	-	TraesARI1A03G00006630	12884
chr1A	14364880	14370215	-	TraesARI1A03G00006880	691
chr1A	14378453	14384455	+	TraesARI1A03G00006900	15437
chr1A	14386026	14387251	+	TraesARI1A03G00006920	1199
chr1A	15264348	15271805	+	TraesARI1A03G00007420	14772
chr1A	15672919	15678606	+	TraesARI1A03G00007670	16772
chr1A	15769756	15780383	+	TraesARI1A03G00007730	11111
chr1A	15859957	15862169	-	TraesARI1A03G00007830	11486
chr1A	16481728	16482942	-	TraesARI1A03G00008010	17760
chr1A	16501237	16502762	+	TraesARI1A03G00008030	16605
chr1A	16501237	16502762	+	TraesARI1A03G00008030	16605
chr1A	16579592	16582951	+	TraesARI1A03G00008050	17059
chr1A	16592354	16594460	+	TraesARI1A03G00008060	16572
chr1A	17366560	17369791	-	TraesARI1A03G00008500	10706
chr1A	17366560	17369791	-	TraesARI1A03G00008500	10706
chr1A	17780101	17781903	+	TraesARI1A03G00008730	1860
chr1A	18311170	18314136	-	TraesARI1A03G00009110	10768
chr1A	18562646	18566465	+	TraesARI1A03G00009190	849
chr1A	19316395	19320505	-	TraesARI1A03G00009460	3400
chr1A	19316395	19320505	-	TraesARI1A03G00009460	3400
chr1A	19356682	19359072	+	TraesARI1A03G00009480	8692
chr1A	19524856	19526807	-	TraesARI1A03G00009550	18137
chr1A	19553085	19556348	-	TraesARI1A03G00009560	7524
chr1A	21523906	21526992	+	TraesARI1A03G00010140	11912
chr1A	21775348	21775467	-	TraesARI1A03G00010410	15137
chr1A	21820053	21823189	-	TraesARI1A03G00010420	15377
chr1A	22297841	22302398	-	TraesARI1A03G00010730	12632
chr1A	22321944	22323569	-	TraesARI1A03G00010750	10063
chr1A	22339400	22342092	+	TraesARI1A03G00010790	16062
chr1A	22438491	22439335	+	TraesARI1A03G00010910	17686
chr1A	22440072	22442705	-	TraesARI1A03G00010920	14936
chr1A	22451049	22465111	+	TraesARI1A03G00010930	5508
chr1A	22451049	22465111	+	TraesARI1A03G00010930	5508
chr1A	27428726	27430628	+	TraesARI1A03G00013370	18039
chr1A	32975904	32979904	+	TraesARI1A03G00015540	4446
chr1A	33967288	33969683	+	TraesARI1A03G00015710	6763
chr1A	33974992	33976297	-	TraesARI1A03G00015720	428
chr1A	34020805	34026656	-	TraesARI1A03G00015760	14069
chr1A	34436675	34442350	+	TraesARI1A03G00016050	16445
chr1A	34490989	34494046	-	TraesARI1A03G00016080	4157
chr1A	34529746	34530759	+	TraesARI1A03G00016090	1577
chr1A	34865394	34869920	+	TraesARI1A03G00016130	13177
chr1A	35032465	35033949	+	TraesARI1A03G00016180	15346
chr1A	35041447	35043985	+	TraesARI1A03G00016250	17628
chr1A	35045372	35047542	+	TraesARI1A03G00016260	17627
chr1A	35369176	35372425	+	TraesARI1A03G00016430	8911
chr1A	36041732	36053539	-	TraesARI1A03G00016850	6123
chr1A	36442843	36445298	-	TraesARI1A03G00017060	13526
chr1A	36969184	36973172	+	TraesARI1A03G00017170	5371
chr1A	37289863	37294257	+	TraesARI1A03G00017380	15787
