Chr	Start	End	Strand	Gene	TriadGrp
chr1A	1144077	1147875	-	TraesJAG1A03G00001180	9058
chr1A	1148732	1152795	-	TraesJAG1A03G00001190	10176
chr1A	1155100	1162034	+	TraesJAG1A03G00001200	12713
chr1A	1173272	1175328	+	TraesJAG1A03G00001230	13574
chr1A	1193709	1196626	-	TraesJAG1A03G00001280	10012
chr1A	1216021	1221777	-	TraesJAG1A03G00001300	14143
chr1A	1320697	1331983	-	TraesJAG1A03G00001360	11319
chr1A	4600070	4607670	+	TraesJAG1A03G00003670	6893
chr1A	4609841	4616052	-	TraesJAG1A03G00003680	9628
chr1A	4763794	4771780	+	TraesJAG1A03G00003720	4980
chr1A	4881742	4884431	+	TraesJAG1A03G00003810	4340
chr1A	4881742	4884431	+	TraesJAG1A03G00003810	4340
chr1A	6634286	6637874	+	TraesJAG1A03G00004780	10633
chr1A	7216574	7223734	+	TraesJAG1A03G00005090	3247
chr1A	7224166	7225548	+	TraesJAG1A03G00005100	13511
chr1A	7696131	7698796	-	TraesJAG1A03G00005430	11230
chr1A	7701744	7714786	-	TraesJAG1A03G00005440	11318
chr1A	7730140	7730605	-	TraesJAG1A03G00005460	13591
chr1A	7730140	7730605	-	TraesJAG1A03G00005460	13591
chr1A	8211546	8214056	-	TraesJAG1A03G00005790	17143
chr1A	8297312	8302623	-	TraesJAG1A03G00005890	3261
chr1A	8305083	8309084	+	TraesJAG1A03G00005900	13635
chr1A	8322001	8324124	-	TraesJAG1A03G00005920	17637
chr1A	8378605	8380344	+	TraesJAG1A03G00005980	16143
chr1A	9167404	9173980	-	TraesJAG1A03G00006210	11433
chr1A	9182654	9185728	+	TraesJAG1A03G00006220	9805
chr1A	9369777	9373631	-	TraesJAG1A03G00006440	15761
chr1A	9593658	9597683	-	TraesJAG1A03G00006610	8399
chr1A	9674500	9677295	-	TraesJAG1A03G00006680	6569
chr1A	10040507	10043277	-	TraesJAG1A03G00006990	1690
chr1A	10044892	10056102	+	TraesJAG1A03G00007000	12888
chr1A	11875566	11878127	-	TraesJAG1A03G00008260	8627
chr1A	11885578	11890448	-	TraesJAG1A03G00008270	12884
chr1A	12058997	12064245	-	TraesJAG1A03G00008490	691
chr1A	12114083	12120132	+	TraesJAG1A03G00008540	15437
chr1A	12121636	12122856	+	TraesJAG1A03G00008560	1199
chr1A	13649236	13656097	+	TraesJAG1A03G00009560	14772
chr1A	13882876	13887810	+	TraesJAG1A03G00009760	16772
chr1A	13952461	13963010	+	TraesJAG1A03G00009800	11111
chr1A	14021783	14023995	-	TraesJAG1A03G00009870	11486
chr1A	14071310	14075180	+	TraesJAG1A03G00009930	3433
chr1A	14374338	14375710	-	TraesJAG1A03G00010080	17760
chr1A	14411787	14413200	+	TraesJAG1A03G00010100	16605
chr1A	14411787	14413200	+	TraesJAG1A03G00010100	16605
chr1A	14411787	14413200	+	TraesJAG1A03G00010100	16605
chr1A	14447524	14450992	+	TraesJAG1A03G00010180	17059
chr1A	14462946	14465264	+	TraesJAG1A03G00010190	16572
chr1A	15199783	15203047	-	TraesJAG1A03G00010680	10706
chr1A	16336360	16339385	-	TraesJAG1A03G00011200	10768
chr1A	16638736	16642601	+	TraesJAG1A03G00011290	849
chr1A	17631026	17635045	-	TraesJAG1A03G00011640	3400
chr1A	17631026	17635045	-	TraesJAG1A03G00011640	3400
chr1A	17650862	17653245	+	TraesJAG1A03G00011660	8692
chr1A	17791012	17793015	-	TraesJAG1A03G00011730	18137
chr1A	17816536	17819908	-	TraesJAG1A03G00011740	7524
chr1A	18782220	18785115	-	TraesJAG1A03G00012040	82
chr1A	18782220	18785115	-	TraesJAG1A03G00012040	82
chr1A	18861935	18865570	+	TraesJAG1A03G00012070	11912
chr1A	18969769	18971635	+	TraesJAG1A03G00012120	5263
chr1A	19194101	19194220	-	TraesJAG1A03G00012340	15137
chr1A	19238748	19241927	-	TraesJAG1A03G00012350	15377
chr1A	19715758	19720318	-	TraesJAG1A03G00012690	12632
chr1A	19739839	19741489	-	TraesJAG1A03G00012710	10063
chr1A	19757368	19759997	+	TraesJAG1A03G00012750	16062
chr1A	19857003	19857889	+	TraesJAG1A03G00012870	17686
chr1A	19858506	19860552	-	TraesJAG1A03G00012880	14936
chr1A	19869596	19883855	+	TraesJAG1A03G00012890	5508
chr1A	19869596	19883855	+	TraesJAG1A03G00012890	5508
chr1A	24465906	24467801	+	TraesJAG1A03G00014930	18039
chr1A	26408871	26412703	+	TraesJAG1A03G00015550	4446
chr1A	27339701	27341662	+	TraesJAG1A03G00015760	6763
chr1A	27347209	27348531	-	TraesJAG1A03G00015780	428
chr1A	27390771	27396290	-	TraesJAG1A03G00015800	14069
chr1A	27820941	27826645	+	TraesJAG1A03G00016090	16445
chr1A	27876030	27879020	-	TraesJAG1A03G00016110	4157
chr1A	27914444	27915284	+	TraesJAG1A03G00016120	1577
chr1A	28240728	28245347	+	TraesJAG1A03G00016160	13177
chr1A	28419937	28421421	+	TraesJAG1A03G00016200	15346
chr1A	28428921	28431459	+	TraesJAG1A03G00016260	17628
chr1A	28432683	28435148	+	TraesJAG1A03G00016270	17627
chr1A	28747376	28750623	+	TraesJAG1A03G00016450	8911
chr1A	29501963	29513651	-	TraesJAG1A03G00016850	6123
chr1A	29972545	29975032	-	TraesJAG1A03G00017120	13526
chr1A	30515660	30519767	+	TraesJAG1A03G00017240	5371
chr1A	30832002	30836422	+	TraesJAG1A03G00017420	15787
chr1A	30927785	30929172	+	TraesJAG1A03G00017450	2545
chr1A	31002018	31004283	+	TraesJAG1A03G00017470	16418
chr1A	31627126	31631280	+	TraesJAG1A03G00017750	8483
chr1A	31632586	31637950	+	TraesJAG1A03G00017770	317
chr1A	32102060	32106680	+	TraesJAG1A03G00018010	156
chr1A	32105023	32106663	-	TraesJAG1A03G00018020	4650
chr1A	32129529	32130461	-	TraesJAG1A03G00018040	3821
chr1A	33144463	33148305	-	TraesJAG1A03G00018300	14753
chr1A	34283900	34285085	-	TraesJAG1A03G00018980	4709
chr1A	34283900	34285085	-	TraesJAG1A03G00018980	4709
chr1A	34674257	34679945	+	TraesJAG1A03G00019120	5175
chr1A	34680344	34686937	-	TraesJAG1A03G00019130	11104
chr1A	35007903	35011801	-	TraesJAG1A03G00019240	10690
chr1A	35011995	35019067	+	TraesJAG1A03G00019250	7063
chr1A	35019553	35021958	-	TraesJAG1A03G00019270	5185
chr1A	35019553	35021958	-	TraesJAG1A03G00019270	5185
chr1A	35294662	35296007	+	TraesJAG1A03G00019340	2500
chr1A	35301360	35309265	+	TraesJAG1A03G00019350	5694
chr1A	35503386	35505695	-	TraesJAG1A03G00019470	6835
chr1A	35507675	35508737	-	TraesJAG1A03G00019490	10525
chr1A	35519784	35522761	+	TraesJAG1A03G00019530	12374
chr1A	35582029	35582876	+	TraesJAG1A03G00019620	4351
chr1A	36225541	36229110	+	TraesJAG1A03G00019700	10332
chr1A	37488229	37492945	-	TraesJAG1A03G00020080	16463
chr1A	38063529	38069200	+	TraesJAG1A03G00020160	4147
chr1A	38069252	38071025	-	TraesJAG1A03G00020170	12116
chr1A	38286795	38289449	-	TraesJAG1A03G00020240	5741
chr1A	38513192	38515135	-	TraesJAG1A03G00020390	9656
chr1A	40480395	40485315	+	TraesJAG1A03G00020820	5559
chr1A	40480395	40485315	+	TraesJAG1A03G00020820	5559
