Chr	Start	End	Strand	Gene	TriadGrp
chr1A	116012	119869	-	TraesJUL1A03G00000080	3433
chr1A	185957	188169	+	TraesJUL1A03G00000180	11486
chr1A	246879	249076	-	TraesJUL1A03G00000250	11111
chr1A	347214	352182	-	TraesJUL1A03G00000310	16772
chr1A	581791	589299	-	TraesJUL1A03G00000500	14772
chr1A	1825427	1831467	-	TraesJUL1A03G00001350	15437
chr1A	1838934	1843966	+	TraesJUL1A03G00001370	691
chr1A	2169056	2174175	+	TraesJUL1A03G00001680	12884
chr1A	2181532	2184098	+	TraesJUL1A03G00001690	8627
chr1A	2679027	2682795	-	TraesJUL1A03G00002070	8247
chr1A	2679027	2682795	-	TraesJUL1A03G00002070	8247
chr1A	2789951	2797798	-	TraesJUL1A03G00002170	10692
chr1A	4254472	4265825	-	TraesJUL1A03G00003060	12888
chr1A	4267336	4269633	+	TraesJUL1A03G00003080	1690
chr1A	4691556	4694228	+	TraesJUL1A03G00003340	6569
chr1A	4691556	4694228	+	TraesJUL1A03G00003340	6569
chr1A	4751773	4755392	+	TraesJUL1A03G00003400	8399
chr1A	4974226	4977435	+	TraesJUL1A03G00003580	15761
chr1A	4974226	4977435	+	TraesJUL1A03G00003580	15761
chr1A	5191294	5194975	-	TraesJUL1A03G00003840	9805
chr1A	5203221	5209771	+	TraesJUL1A03G00003850	11433
chr1A	5994023	5995776	-	TraesJUL1A03G00004080	16143
chr1A	6049935	6052059	+	TraesJUL1A03G00004160	17637
chr1A	6065067	6069019	-	TraesJUL1A03G00004180	13635
chr1A	6071458	6076756	+	TraesJUL1A03G00004190	3261
chr1A	6154570	6156996	+	TraesJUL1A03G00004260	17143
chr1A	6618736	6619420	+	TraesJUL1A03G00004570	13591
chr1A	6634635	6647371	+	TraesJUL1A03G00004590	11318
chr1A	6650379	6653034	+	TraesJUL1A03G00004600	11230
chr1A	7090933	7092321	-	TraesJUL1A03G00004880	13511
chr1A	7571596	7575141	+	TraesJUL1A03G00005190	10633
chr1A	7571596	7575141	+	TraesJUL1A03G00005190	10633
chr1A	10489272	10496791	+	TraesJUL1A03G00007170	6893
chr1A	10499086	10504966	-	TraesJUL1A03G00007180	9628
chr1A	10619492	10626173	+	TraesJUL1A03G00007220	4980
chr1A	10868095	10870315	-	TraesJUL1A03G00007350	15943
chr1A	10868095	10870315	-	TraesJUL1A03G00007350	15943
chr1A	12753621	12764889	+	TraesJUL1A03G00008650	11319
chr1A	12863196	12869034	+	TraesJUL1A03G00008710	14143
chr1A	12888175	12891202	+	TraesJUL1A03G00008730	10012
chr1A	12905510	12907544	-	TraesJUL1A03G00008770	13574
chr1A	12918697	12925683	-	TraesJUL1A03G00008800	12713
chr1A	12927826	12931919	+	TraesJUL1A03G00008810	10176
chr1A	12932869	12936464	+	TraesJUL1A03G00008820	9058
chr1A	14087447	14088675	-	TraesJUL1A03G00010130	17760
chr1A	14097250	14098811	+	TraesJUL1A03G00010140	16605
chr1A	14097250	14098811	+	TraesJUL1A03G00010140	16605
chr1A	14171934	14175330	+	TraesJUL1A03G00010170	17059
chr1A	14185715	14188009	+	TraesJUL1A03G00010180	16572
chr1A	15590940	15594244	-	TraesJUL1A03G00010920	10706
chr1A	16173436	16175004	+	TraesJUL1A03G00011110	1860
chr1A	16783863	16786695	-	TraesJUL1A03G00011520	10768
chr1A	18110816	18114726	-	TraesJUL1A03G00011960	3400
chr1A	18130016	18133031	+	TraesJUL1A03G00011970	8692
chr1A	18270943	18273030	-	TraesJUL1A03G00012040	18137
chr1A	18296561	18299649	-	TraesJUL1A03G00012050	7524
chr1A	20067320	20081362	-	TraesJUL1A03G00012490	5508
chr1A	20067320	20081362	-	TraesJUL1A03G00012490	5508
chr1A	20089866	20092489	+	TraesJUL1A03G00012500	14936
chr1A	20188636	20191288	-	TraesJUL1A03G00012640	16062
chr1A	20207166	20208817	+	TraesJUL1A03G00012680	10063
chr1A	20252230	20256997	+	TraesJUL1A03G00012700	12632
chr1A	20717131	20720210	+	TraesJUL1A03G00012910	15377
chr1A	20765390	20765509	+	TraesJUL1A03G00012920	15137
chr1A	21023353	21025215	-	TraesJUL1A03G00013110	5263
chr1A	21144149	21148048	-	TraesJUL1A03G00013170	11912
chr1A	21226118	21229117	+	TraesJUL1A03G00013200	82
chr1A	21226118	21229117	+	TraesJUL1A03G00013200	82
chr1A	26512996	26517046	+	TraesJUL1A03G00015660	17446
chr1A	26609266	26611170	+	TraesJUL1A03G00015710	18039
chr1A	28638206	28642081	+	TraesJUL1A03G00016440	4446
chr1A	28638206	28642081	+	TraesJUL1A03G00016440	4446
chr1A	29362819	29366497	+	TraesJUL1A03G00016640	6763
chr1A	29371256	29372756	-	TraesJUL1A03G00016650	428
chr1A	29422084	29427794	-	TraesJUL1A03G00016670	14069
chr1A	29882003	29885274	-	TraesJUL1A03G00017040	4157
chr1A	29908344	29909173	+	TraesJUL1A03G00017060	1577
chr1A	30043215	30047712	+	TraesJUL1A03G00017100	13177
chr1A	30196640	30198124	+	TraesJUL1A03G00017120	15346
chr1A	30205526	30207921	+	TraesJUL1A03G00017160	17628
chr1A	30209537	30211770	+	TraesJUL1A03G00017170	17627
chr1A	30548193	30555363	+	TraesJUL1A03G00017390	8911
chr1A	31226737	31238466	-	TraesJUL1A03G00017740	6123
chr1A	31691707	31694139	-	TraesJUL1A03G00018040	13526
chr1A	32184636	32188728	+	TraesJUL1A03G00018140	5371
chr1A	32481205	32487632	+	TraesJUL1A03G00018330	15787
chr1A	32591131	32592192	+	TraesJUL1A03G00018370	2545
chr1A	32646855	32649070	+	TraesJUL1A03G00018400	16418
chr1A	33289769	33294047	+	TraesJUL1A03G00018670	8483
chr1A	33295376	33301060	+	TraesJUL1A03G00018690	317
chr1A	33769488	33773035	+	TraesJUL1A03G00018980	156
chr1A	33772480	33774063	-	TraesJUL1A03G00018990	4650
chr1A	33796829	33797761	-	TraesJUL1A03G00019010	3821
chr1A	34793639	34797436	-	TraesJUL1A03G00019270	14753
chr1A	35947869	35948972	-	TraesJUL1A03G00019970	4709
chr1A	36330741	36336307	+	TraesJUL1A03G00020090	5175
chr1A	36336757	36343463	-	TraesJUL1A03G00020100	11104
chr1A	36669515	36673346	-	TraesJUL1A03G00020210	10690
chr1A	36673558	36680336	+	TraesJUL1A03G00020220	7063
chr1A	36680714	36683145	-	TraesJUL1A03G00020240	5185
chr1A	36954299	36955726	+	TraesJUL1A03G00020310	2500
chr1A	36960991	36968908	+	TraesJUL1A03G00020320	5694
chr1A	37159744	37163035	-	TraesJUL1A03G00020440	6835
chr1A	37176259	37179314	+	TraesJUL1A03G00020490	12374
chr1A	37176259	37179314	+	TraesJUL1A03G00020490	12374
chr1A	37245718	37247188	+	TraesJUL1A03G00020560	4351
chr1A	37873176	37876752	+	TraesJUL1A03G00020650	10332
chr1A	38971180	38975995	-	TraesJUL1A03G00020990	16463
chr1A	39647366	39655445	+	TraesJUL1A03G00021130	4147
chr1A	39653583	39655239	-	TraesJUL1A03G00021140	12116
chr1A	39879553	39881195	-	TraesJUL1A03G00021190	14523
chr1A	39893240	39895928	-	TraesJUL1A03G00021210	5741
chr1A	40140292	40142201	-	TraesJUL1A03G00021400	9656
chr1A	41964478	41969379	+	TraesJUL1A03G00021830	5559
chr1A	42060746	42061524	+	TraesJUL1A03G00021910	6385
chr1A	42859366	42860585	-	TraesJUL1A03G00022300	10506
chr1A	43158182	43164658	+	TraesJUL1A03G00022440	15317
chr1A	45862056	45867903	+	TraesJUL1A03G00023220	11498
chr1A	46196436	46200299	+	TraesJUL1A03G00023390	13797
chr1A	47983401	47993235	+	TraesJUL1A03G00023960	13083
chr1A	48202480	48209485	+	TraesJUL1A03G00024020	526
chr1A	48208858	48209349	-	TraesJUL1A03G00024030	10933
chr1A	48226976	48230976	-	TraesJUL1A03G00024100	13277
chr1A	48977259	48992132	+	TraesJUL1A03G00024280	13282
chr1A	48993641	48995342	-	TraesJUL1A03G00024290	806
chr1A	49106742	49107665	-	TraesJUL1A03G00024320	815
chr1A	49125437	49130445	-	TraesJUL1A03G00024340	6057
chr1A	49125437	49130445	-	TraesJUL1A03G00024340	6057
chr1A	49181528	49184203	+	TraesJUL1A03G00024380	3765
chr1A	49377028	49380581	+	TraesJUL1A03G00024440	8479
chr1A	49648075	49650794	-	TraesJUL1A03G00024680	9382
chr1A	49667128	49686703	+	TraesJUL1A03G00024720	7908
chr1A	49690946	49695446	+	TraesJUL1A03G00024730	18214
chr1A	49838354	49840492	-	TraesJUL1A03G00024820	1281
chr1A	49875729	49877369	-	TraesJUL1A03G00024880	16061
chr1A	50329263	50330535	-	TraesJUL1A03G00025010	2008
chr1A	52724907	52730574	+	TraesJUL1A03G00025870	6200
chr1A	52848681	52850201	-	TraesJUL1A03G00025930	840
chr1A	53340970	53345606	+	TraesJUL1A03G00026070	13066
chr1A	53350532	53355941	-	TraesJUL1A03G00026080	14768
chr1A	53728532	53730815	+	TraesJUL1A03G00026150	13940
chr1A	53745418	53748289	-	TraesJUL1A03G00026160	3651
chr1A	53910913	53914126	+	TraesJUL1A03G00026310	7781
chr1A	54120784	54129537	-	TraesJUL1A03G00026400	8725
chr1A	54216975	54218883	+	TraesJUL1A03G00026440	9968
chr1A	54237874	54243305	-	TraesJUL1A03G00026480	6241
chr1A	54289395	54293798	-	TraesJUL1A03G00026490	10231
chr1A	54562376	54568656	+	TraesJUL1A03G00026570	6627
chr1A	56805319	56806411	+	TraesJUL1A03G00026960	837
chr1A	56808429	56815654	-	TraesJUL1A03G00026970	8446
chr1A	57379573	57381423	+	TraesJUL1A03G00027160	3529
chr1A	57392066	57394740	+	TraesJUL1A03G00027170	13727
chr1A	57397040	57400146	-	TraesJUL1A03G00027190	17070
chr1A	57488717	57493909	-	TraesJUL1A03G00027210	5521
chr1A	57812755	57814401	+	TraesJUL1A03G00027330	10969
chr1A	57859401	57860605	-	TraesJUL1A03G00027380	7836
chr1A	57936727	57937985	-	TraesJUL1A03G00027410	17696
chr1A	57942192	57948373	+	TraesJUL1A03G00027430	752
chr1A	58298848	58302473	+	TraesJUL1A03G00027620	8341
chr1A	58344653	58347086	+	TraesJUL1A03G00027650	1232
chr1A	58347470	58354895	-	TraesJUL1A03G00027660	8178
chr1A	58376813	58381289	-	TraesJUL1A03G00027710	5545
chr1A	58885975	58901198	+	TraesJUL1A03G00028000	14856
chr1A	58885975	58901198	+	TraesJUL1A03G00028000	14856
chr1A	58885975	58901198	+	TraesJUL1A03G00028000	14856
chr1A	58932835	58938157	-	TraesJUL1A03G00028060	9594
chr1A	59043646	59044230	+	TraesJUL1A03G00028090	5659
chr1A	59133817	59135475	+	TraesJUL1A03G00028150	17904
chr1A	59795611	59798471	+	TraesJUL1A03G00028480	4143
chr1A	60036986	60040705	-	TraesJUL1A03G00028530	15418
chr1A	60705106	60708631	+	TraesJUL1A03G00028910	1410
chr1A	60902184	60906468	+	TraesJUL1A03G00028990	14072
chr1A	61121581	61123559	-	TraesJUL1A03G00029100	4825
chr1A	61175171	61176638	+	TraesJUL1A03G00029110	18066
chr1A	61544031	61556095	-	TraesJUL1A03G00029440	5771
chr1A	61738889	61740255	+	TraesJUL1A03G00029470	16672
chr1A	62173880	62174930	+	TraesJUL1A03G00029540	2982
chr1A	62179989	62182907	-	TraesJUL1A03G00029550	18056
chr1A	62405434	62406707	-	TraesJUL1A03G00029600	18075
chr1A	62726507	62730205	+	TraesJUL1A03G00029660	3790
chr1A	62760247	62764390	+	TraesJUL1A03G00029690	17057
chr1A	62764610	62768738	-	TraesJUL1A03G00029700	4235
chr1A	63155816	63156966	-	TraesJUL1A03G00029800	18202
chr1A	63197067	63199158	+	TraesJUL1A03G00029830	6868
