Chr	Start	End	Strand	Gene	TriadGrp
chr1A	2276841	2288485	+	TraesSTA1A03G00001510	11319
chr1A	2387446	2393254	+	TraesSTA1A03G00001570	14143
chr1A	2413894	2416816	+	TraesSTA1A03G00001590	10012
chr1A	2413894	2416816	+	TraesSTA1A03G00001590	10012
chr1A	2413894	2416816	+	TraesSTA1A03G00001590	10012
chr1A	2435539	2437475	-	TraesSTA1A03G00001640	13574
chr1A	2448708	2455724	-	TraesSTA1A03G00001670	12713
chr1A	2457710	2462039	+	TraesSTA1A03G00001680	10176
chr1A	2462882	2466484	+	TraesSTA1A03G00001690	9058
chr1A	3837199	3839776	-	TraesSTA1A03G00003060	4340
chr1A	3949996	3958159	-	TraesSTA1A03G00003150	4980
chr1A	4106926	4113172	+	TraesSTA1A03G00003180	9628
chr1A	4115219	4123309	-	TraesSTA1A03G00003190	6893
chr1A	6501495	6508149	+	TraesSTA1A03G00004750	3247
chr1A	6508696	6509984	+	TraesSTA1A03G00004770	13511
chr1A	6946922	6949606	-	TraesSTA1A03G00005060	11230
chr1A	6952591	6965931	-	TraesSTA1A03G00005070	11318
chr1A	6980343	6980805	-	TraesSTA1A03G00005090	13591
chr1A	6980343	6980805	-	TraesSTA1A03G00005090	13591
chr1A	7448601	7451111	-	TraesSTA1A03G00005460	17143
chr1A	7499322	7504632	-	TraesSTA1A03G00005540	3261
chr1A	7507078	7511113	+	TraesSTA1A03G00005550	13635
chr1A	7524381	7526543	-	TraesSTA1A03G00005570	17637
chr1A	8751644	8758278	-	TraesSTA1A03G00005940	11433
chr1A	9232716	9236260	-	TraesSTA1A03G00006360	8399
chr1A	9258243	9260825	-	TraesSTA1A03G00006390	6569
chr1A	9869529	9871825	-	TraesSTA1A03G00006720	1690
chr1A	9885437	9893526	+	TraesSTA1A03G00006740	12888
chr1A	10660481	10663152	+	TraesSTA1A03G00007290	235
chr1A	12006647	12014531	+	TraesSTA1A03G00008040	10692
chr1A	12060126	12063103	+	TraesSTA1A03G00008100	8247
chr1A	12060126	12063103	+	TraesSTA1A03G00008100	8247
chr1A	12544963	12547458	-	TraesSTA1A03G00008530	8627
chr1A	12841282	12846304	-	TraesSTA1A03G00008900	691
chr1A	12853753	12859792	+	TraesSTA1A03G00008920	15437
chr1A	12861247	12862917	+	TraesSTA1A03G00008940	1199
chr1A	14470797	14478044	+	TraesSTA1A03G00009980	14772
chr1A	14713587	14718574	+	TraesSTA1A03G00010220	16772
chr1A	14713587	14718574	+	TraesSTA1A03G00010220	16772
chr1A	14786974	14797522	+	TraesSTA1A03G00010270	11111
chr1A	14816558	14818770	-	TraesSTA1A03G00010330	11486
chr1A	14863472	14867336	+	TraesSTA1A03G00010400	3433
chr1A	15204839	15206247	+	TraesSTA1A03G00010570	16605
chr1A	15204839	15206247	+	TraesSTA1A03G00010570	16605
chr1A	15247823	15251158	+	TraesSTA1A03G00010630	17059
chr1A	15262856	15264968	+	TraesSTA1A03G00010640	16572
chr1A	16804775	16807894	-	TraesSTA1A03G00011370	10706
chr1A	17387589	17389333	+	TraesSTA1A03G00011560	1860
chr1A	17828644	17831085	-	TraesSTA1A03G00011860	10768
chr1A	18148506	18152297	+	TraesSTA1A03G00011960	849
chr1A	19161852	19165995	-	TraesSTA1A03G00012320	3400
chr1A	19973508	19976507	-	TraesSTA1A03G00012610	82
chr1A	20050517	20054169	+	TraesSTA1A03G00012640	11912
chr1A	20161254	20163176	+	TraesSTA1A03G00012700	5263
chr1A	20385773	20385892	-	TraesSTA1A03G00012890	15137
chr1A	20429939	20433099	-	TraesSTA1A03G00012900	15377
chr1A	20918576	20923175	-	TraesSTA1A03G00013230	12632
chr1A	20942608	20944324	-	TraesSTA1A03G00013250	10063
chr1A	20960106	20962830	+	TraesSTA1A03G00013290	16062
chr1A	21060821	21061679	+	TraesSTA1A03G00013410	17686
chr1A	21062397	21064745	-	TraesSTA1A03G00013420	14936
chr1A	21073836	21087920	+	TraesSTA1A03G00013430	5508
chr1A	21073836	21087920	+	TraesSTA1A03G00013430	5508
chr1A	21173961	21176304	+	TraesSTA1A03G00013560	8692
chr1A	21310966	21312870	-	TraesSTA1A03G00013630	18137
chr1A	21336661	21339963	-	TraesSTA1A03G00013640	7524
chr1A	22435136	22437453	+	TraesSTA1A03G00013890	6763
chr1A	22442698	22444022	-	TraesSTA1A03G00013910	428
chr1A	22489542	22494908	-	TraesSTA1A03G00013930	14069
chr1A	22948474	22951265	-	TraesSTA1A03G00014250	4157
chr1A	22979329	22980036	+	TraesSTA1A03G00014290	1577
chr1A	23335594	23340177	+	TraesSTA1A03G00014330	13177
chr1A	23464193	23465677	+	TraesSTA1A03G00014360	15346
chr1A	23474665	23476842	+	TraesSTA1A03G00014410	17628
chr1A	23478456	23480785	+	TraesSTA1A03G00014420	17627
chr1A	23809344	23834535	+	TraesSTA1A03G00014660	8911
chr1A	23809344	23834535	+	TraesSTA1A03G00014660	8911
chr1A	25947767	25952461	+	TraesSTA1A03G00015480	4446
chr1A	25947767	25952461	+	TraesSTA1A03G00015480	4446
chr1A	26724970	26736693	-	TraesSTA1A03G00015650	6123
