Chr	Start	End	Strand	Gene	TriadGrp
chr1A	234275	245610	+	TraesMAC1A03G00000240	11319
chr1A	343474	349417	+	TraesMAC1A03G00000300	14143
chr1A	388193	390285	-	TraesMAC1A03G00000380	13574
chr1A	401403	408460	-	TraesMAC1A03G00000410	12713
chr1A	410479	414793	+	TraesMAC1A03G00000420	10176
chr1A	415591	419234	+	TraesMAC1A03G00000430	9058
chr1A	1573088	1577608	+	TraesMAC1A03G00000940	2116
chr1A	1573088	1577608	+	TraesMAC1A03G00000940	2116
chr1A	1573088	1577608	+	TraesMAC1A03G00000940	2116
chr1A	2556844	2558422	+	TraesMAC1A03G00001520	15943
chr1A	2556844	2558422	+	TraesMAC1A03G00001520	15943
chr1A	2662518	2665073	-	TraesMAC1A03G00001550	4340
chr1A	2797650	2804387	-	TraesMAC1A03G00001640	4980
chr1A	2919164	2924987	+	TraesMAC1A03G00001680	9628
chr1A	2927321	2934915	-	TraesMAC1A03G00001690	6893
chr1A	5587334	5590925	-	TraesMAC1A03G00003320	10633
chr1A	6028890	6035588	+	TraesMAC1A03G00003590	3247
chr1A	6036066	6037409	+	TraesMAC1A03G00003600	13511
chr1A	6495570	6498247	-	TraesMAC1A03G00003920	11230
chr1A	6501232	6514106	-	TraesMAC1A03G00003930	11318
chr1A	6528461	6528925	-	TraesMAC1A03G00003950	13591
chr1A	6528461	6528925	-	TraesMAC1A03G00003950	13591
chr1A	7009424	7011934	-	TraesMAC1A03G00004300	17143
chr1A	7089225	7094502	-	TraesMAC1A03G00004390	3261
chr1A	7096848	7101001	+	TraesMAC1A03G00004400	13635
chr1A	7113787	7116066	-	TraesMAC1A03G00004420	17637
chr1A	7170088	7171893	+	TraesMAC1A03G00004480	16143
chr1A	7916598	7923171	-	TraesMAC1A03G00004680	11433
chr1A	8119514	8123014	-	TraesMAC1A03G00004930	15761
chr1A	8119514	8123014	-	TraesMAC1A03G00004930	15761
chr1A	8341821	8345608	-	TraesMAC1A03G00005100	8399
chr1A	8341821	8345608	-	TraesMAC1A03G00005100	8399
chr1A	8403166	8405852	-	TraesMAC1A03G00005140	6569
chr1A	8403166	8405852	-	TraesMAC1A03G00005140	6569
chr1A	8823598	8826351	-	TraesMAC1A03G00005450	1690
chr1A	8823598	8826351	-	TraesMAC1A03G00005450	1690
chr1A	8827633	8838982	+	TraesMAC1A03G00005460	12888
chr1A	10299643	10307537	+	TraesMAC1A03G00006470	10692
chr1A	10418293	10421781	+	TraesMAC1A03G00006570	8247
chr1A	10418293	10421781	+	TraesMAC1A03G00006570	8247
chr1A	10889909	10892495	-	TraesMAC1A03G00006950	8627
chr1A	11085058	11090508	-	TraesMAC1A03G00007220	691
chr1A	11136237	11142345	+	TraesMAC1A03G00007260	15437
chr1A	11143751	11145124	+	TraesMAC1A03G00007280	1199
chr1A	13341250	13343425	-	TraesMAC1A03G00008700	16572
chr1A	13354828	13358387	-	TraesMAC1A03G00008710	17059
chr1A	13391382	13392801	-	TraesMAC1A03G00008770	16605
chr1A	13391382	13392801	-	TraesMAC1A03G00008770	16605
chr1A	13429032	13430403	+	TraesMAC1A03G00008780	17760
chr1A	13780647	13784492	-	TraesMAC1A03G00008910	3433
chr1A	13828463	13830675	+	TraesMAC1A03G00008980	11486
chr1A	13857669	13860039	-	TraesMAC1A03G00009040	11111
chr1A	13929492	13932887	-	TraesMAC1A03G00009100	16772
chr1A	14162445	14169702	-	TraesMAC1A03G00009350	14772
chr1A	14368816	14372122	-	TraesMAC1A03G00009530	10706
chr1A	14782901	14784614	+	TraesMAC1A03G00009720	1860
chr1A	15288524	15291067	-	TraesMAC1A03G00010060	10768
chr1A	15595916	15599685	+	TraesMAC1A03G00010160	849
chr1A	16766989	16771142	-	TraesMAC1A03G00010560	3400
chr1A	16786821	16789063	+	TraesMAC1A03G00010580	8692
chr1A	16932163	16934117	-	TraesMAC1A03G00010630	18137
chr1A	16957557	16960902	-	TraesMAC1A03G00010640	7524
chr1A	17293074	17295965	-	TraesMAC1A03G00010740	82
chr1A	17293074	17295965	-	TraesMAC1A03G00010740	82
chr1A	17367564	17371425	+	TraesMAC1A03G00010770	11912
chr1A	17473202	17475444	+	TraesMAC1A03G00010810	5263
chr1A	17699546	17699665	-	TraesMAC1A03G00010990	15137
chr1A	17727728	17730975	-	TraesMAC1A03G00011000	15377
chr1A	18286793	18291356	-	TraesMAC1A03G00011320	12632
chr1A	18310938	18312545	-	TraesMAC1A03G00011340	10063
chr1A	18328393	18331053	+	TraesMAC1A03G00011380	16062
