Chr	Start	End	Strand	Gene	TriadGrp
chr1A	1127845	1131178	-	TraesSYM1A03G00000270	9058
chr1A	1138818	1145993	+	TraesSYM1A03G00000290	12713
chr1A	1163190	1166142	-	TraesSYM1A03G00000360	10012
chr1A	1163190	1166142	-	TraesSYM1A03G00000360	10012
chr1A	1163190	1166142	-	TraesSYM1A03G00000360	10012
chr1A	1176508	1182285	-	TraesSYM1A03G00000380	14143
chr1A	1267615	1279098	-	TraesSYM1A03G00000430	11319
chr1A	6549859	6551564	-	TraesSYM1A03G00002070	16143
chr1A	6605606	6607739	+	TraesSYM1A03G00002130	17637
chr1A	6620657	6624657	-	TraesSYM1A03G00002150	13635
chr1A	6627098	6632575	+	TraesSYM1A03G00002160	3261
chr1A	6690592	6693102	+	TraesSYM1A03G00002240	17143
chr1A	7144656	7147579	-	TraesSYM1A03G00002520	11230
chr1A	7155731	7168323	-	TraesSYM1A03G00002530	11318
chr1A	7329746	7330568	+	TraesSYM1A03G00002710	8333
chr1A	7628879	7635575	-	TraesSYM1A03G00002900	3247
chr1A	7628879	7635575	-	TraesSYM1A03G00002900	3247
chr1A	10023189	10030998	+	TraesSYM1A03G00004300	6893
chr1A	10034599	10040591	-	TraesSYM1A03G00004310	9628
chr1A	10075930	10082368	+	TraesSYM1A03G00004320	4980
chr1A	10148466	10151333	+	TraesSYM1A03G00004330	4340
chr1A	10674879	10679397	+	TraesSYM1A03G00004680	2116
chr1A	10674879	10679397	+	TraesSYM1A03G00004680	2116
chr1A	10674879	10679397	+	TraesSYM1A03G00004680	2116
chr1A	11491883	11498441	-	TraesSYM1A03G00004960	11433
chr1A	11506201	11510287	+	TraesSYM1A03G00004970	9805
chr1A	11747609	11751400	-	TraesSYM1A03G00005200	15761
chr1A	11970392	11974363	-	TraesSYM1A03G00005380	8399
chr1A	12045345	12048049	-	TraesSYM1A03G00005460	6569
chr1A	12409738	12412551	-	TraesSYM1A03G00005790	1690
chr1A	12413964	12428817	+	TraesSYM1A03G00005800	12888
chr1A	13903180	13911061	+	TraesSYM1A03G00006770	10692
chr1A	14026556	14029539	+	TraesSYM1A03G00006870	8247
chr1A	14026556	14029539	+	TraesSYM1A03G00006870	8247
chr1A	14508204	14510760	-	TraesSYM1A03G00007310	8627
chr1A	14523197	14528285	-	TraesSYM1A03G00007340	12884
chr1A	14805592	14810620	-	TraesSYM1A03G00007610	691
chr1A	14818107	14824140	+	TraesSYM1A03G00007630	15437
chr1A	14825638	14826942	+	TraesSYM1A03G00007650	1199
chr1A	16426592	16433767	+	TraesSYM1A03G00008700	14772
chr1A	16634084	16637713	+	TraesSYM1A03G00008900	16772
chr1A	16707253	16709528	+	TraesSYM1A03G00008960	11111
chr1A	16736616	16738828	-	TraesSYM1A03G00009020	11486
chr1A	16798708	16802622	+	TraesSYM1A03G00009090	3433
chr1A	17124033	17125355	-	TraesSYM1A03G00009260	17760
chr1A	17161408	17162850	+	TraesSYM1A03G00009270	16605
chr1A	17161408	17162850	+	TraesSYM1A03G00009270	16605
chr1A	17196666	17199903	+	TraesSYM1A03G00009310	17059
chr1A	17211597	17213712	+	TraesSYM1A03G00009320	16572
chr1A	18606397	18609684	-	TraesSYM1A03G00010010	10706
chr1A	19181002	19182741	+	TraesSYM1A03G00010210	1860
chr1A	19792505	19794955	-	TraesSYM1A03G00010630	10768
chr1A	21110124	21114174	-	TraesSYM1A03G00011070	3400
chr1A	21134418	21136777	+	TraesSYM1A03G00011090	8692
chr1A	21267823	21269787	-	TraesSYM1A03G00011150	18137
chr1A	21293231	21296458	-	TraesSYM1A03G00011160	7524
chr1A	22505865	22508755	-	TraesSYM1A03G00011520	82
chr1A	22580955	22584624	+	TraesSYM1A03G00011560	11912
chr1A	22685741	22687636	+	TraesSYM1A03G00011610	5263
chr1A	22938873	22938992	-	TraesSYM1A03G00011800	15137
chr1A	22938873	22938992	-	TraesSYM1A03G00011800	15137
chr1A	22981406	22984625	-	TraesSYM1A03G00011810	15377
chr1A	23441577	23446160	-	TraesSYM1A03G00012010	12632
chr1A	23489848	23491481	-	TraesSYM1A03G00012030	10063
chr1A	23507271	23510004	+	TraesSYM1A03G00012070	16062
chr1A	23604386	23605226	+	TraesSYM1A03G00012190	17686
chr1A	23605967	23608315	-	TraesSYM1A03G00012200	14936
chr1A	23616976	23631006	+	TraesSYM1A03G00012210	5508
chr1A	23616976	23631006	+	TraesSYM1A03G00012210	5508
chr1A	28746136	28748039	+	TraesSYM1A03G00014670	18039
chr1A	32691992	32696064	+	TraesSYM1A03G00015970	4446
chr1A	33722652	33725123	+	TraesSYM1A03G00016160	6763
chr1A	33730318	33731455	-	TraesSYM1A03G00016180	428
chr1A	33776143	33781858	-	TraesSYM1A03G00016200	14069
chr1A	34192043	34197711	+	TraesSYM1A03G00016490	16445
chr1A	34245948	34249029	-	TraesSYM1A03G00016520	4157
chr1A	34281408	34282285	+	TraesSYM1A03G00016530	1577
chr1A	34616611	34621274	+	TraesSYM1A03G00016570	13177
chr1A	34796955	34798439	+	TraesSYM1A03G00016610	15346
chr1A	34806083	34808113	+	TraesSYM1A03G00016680	17628
chr1A	34809857	34812137	+	TraesSYM1A03G00016690	17627
chr1A	35136316	35139567	+	TraesSYM1A03G00016870	8911
chr1A	35808606	35820384	-	TraesSYM1A03G00017270	6123
chr1A	36209397	36211749	-	TraesSYM1A03G00017480	13526
chr1A	36730127	36734107	+	TraesSYM1A03G00017590	5371
chr1A	37131796	37132689	+	TraesSYM1A03G00017830	2545
chr1A	37205386	37207636	+	TraesSYM1A03G00017850	16418
chr1A	37822601	37826623	+	TraesSYM1A03G00018150	8483
chr1A	37828085	37833170	+	TraesSYM1A03G00018170	317
chr1A	38499425	38504031	+	TraesSYM1A03G00018470	156
chr1A	38502378	38504020	-	TraesSYM1A03G00018480	4650
chr1A	38526898	38527830	-	TraesSYM1A03G00018500	3821
chr1A	39524072	39527947	-	TraesSYM1A03G00018770	14753
chr1A	40692544	40693685	-	TraesSYM1A03G00019500	4709
chr1A	41076088	41081900	+	TraesSYM1A03G00019650	5175
chr1A	41082255	41088846	-	TraesSYM1A03G00019660	11104
chr1A	41409806	41413629	-	TraesSYM1A03G00019770	10690
chr1A	41413773	41420629	+	TraesSYM1A03G00019780	7063
chr1A	41420808	41423425	-	TraesSYM1A03G00019800	5185
chr1A	41689686	41691038	+	TraesSYM1A03G00019870	2500
chr1A	41696309	41704234	+	TraesSYM1A03G00019880	5694
chr1A	41897530	41899578	-	TraesSYM1A03G00020030	6835
chr1A	41901584	41902221	-	TraesSYM1A03G00020050	10525
chr1A	41913717	41916711	+	TraesSYM1A03G00020100	12374
chr1A	41913717	41916711	+	TraesSYM1A03G00020100	12374
chr1A	41983160	41983960	+	TraesSYM1A03G00020170	4351
chr1A	42611551	42615124	+	TraesSYM1A03G00020260	10332
chr1A	43706679	43711495	-	TraesSYM1A03G00020600	16463
chr1A	44364333	44370135	+	TraesSYM1A03G00020740	4147
chr1A	44370187	44371985	-	TraesSYM1A03G00020750	12116
chr1A	44598133	44600098	-	TraesSYM1A03G00020800	14523
chr1A	44853217	44855430	-	TraesSYM1A03G00021010	9656
chr1A	46675262	46680025	+	TraesSYM1A03G00021450	5559
chr1A	46764263	46765169	+	TraesSYM1A03G00021530	6385
chr1A	47819934	47820805	-	TraesSYM1A03G00021960	10506
chr1A	48097368	48101616	+	TraesSYM1A03G00022060	15317
chr1A	48190847	48209160	+	TraesSYM1A03G00022160	10178
chr1A	50793421	50798930	+	TraesSYM1A03G00022860	11498
chr1A	51118413	51122221	+	TraesSYM1A03G00023000	13797
chr1A	52912103	52920400	+	TraesSYM1A03G00023560	13083
chr1A	53129766	53136597	+	TraesSYM1A03G00023620	526
chr1A	53136093	53136565	-	TraesSYM1A03G00023630	10933
chr1A	53153962	53158081	-	TraesSYM1A03G00023700	13277
chr1A	53904164	53919640	+	TraesSYM1A03G00023880	13282
chr1A	53920681	53922636	-	TraesSYM1A03G00023890	806
chr1A	54033227	54033915	-	TraesSYM1A03G00023910	815
chr1A	54051849	54056370	-	TraesSYM1A03G00023930	6057
chr1A	54109396	54111798	+	TraesSYM1A03G00023960	3765
chr1A	54304639	54308232	+	TraesSYM1A03G00024020	8479
chr1A	54597100	54600023	-	TraesSYM1A03G00024290	9382
chr1A	54612579	54632143	+	TraesSYM1A03G00024330	7908
chr1A	54636326	54640828	+	TraesSYM1A03G00024340	18214
chr1A	54708707	54710722	-	TraesSYM1A03G00024430	7815
chr1A	54810027	54811775	-	TraesSYM1A03G00024460	1281
