assembly	chromosome	start	end	block_no	chr_length	merged_block
arina	chr1A	1144333	7536445	50	594102056	396
arina	chr1A	14857039	20938081	374	594102056	38
arina	chr1A	23420851	39651876	50	594102056	396
arina	chr1A	36259371	42220780	370	594102056	292
arina	chr1A	39821961	59842359	60	594102056	292
arina	chr1A	45498142	64897525	61	594102056	89
arina	chr1A	45498142	74745508	51	594102056	417
arina	chr1A	58123311	64694087	409	594102056	89
arina	chr1A	80282864	86637773	381	594102056	14
arina	chr1A	97162370	104379785	397	594102056	14
arina	chr1A	97792599	104222866	419	594102056	14
arina	chr1A	161671207	165179858	100	594102056	14
arina	chr1A	161671207	165179858	95	594102056	14
arina	chr1A	161671207	165179858	98	594102056	14
arina	chr1A	212017043	213255931	101	594102056	14
arina	chr1A	212017043	213255931	99	594102056	14
arina	chr1A	212017043	213255931	94	594102056	14
arina	chr1A	340415026	347920800	394	594102056	945
arina	chr1A	448627007	454526612	385	594102056	185
arina	chr1A	463810370	478628984	68	594102056	173
arina	chr1A	463810370	478628984	70	594102056	173
arina	chr1A	463810370	478628984	71	594102056	173
arina	chr1A	468822195	478628984	79	594102056	173
arina	chr1A	468822195	478628984	78	594102056	173
arina	chr1A	474189095	478628984	96	594102056	173
arina	chr1A	513623272	537831773	55	594102056	190
arina	chr1A	513623272	547511875	35	594102056	378
arina	chr1A	513623272	547511875	31	594102056	379
arina	chr1A	557989064	571895896	31	594102056	379
arina	chr1A	558148139	563684009	372	594102056	379
arina	chr1A	563159275	566689723	97	594102056	378
arina	chr1A	563159275	571895896	35	594102056	378
arina	chr1A	566480047	571895896	416	594102056	378
arina	chr1A	574826362	589056785	383	594102056	662
arina	chr1A	576219770	591308079	69	594102056	623
arina	chr1B	17730527	22087881	524	689851870	593
arina	chr1B	24785964	30883218	524	689851870	593
arina	chr1B	25473387	29395228	549	689851870	593
arina	chr1B	63188111	67683832	546	689851870	175
arina	chr1B	63188111	101591951	498	689851870	338
arina	chr1B	368557027	394117466	794	689851870	443
arina	chr1B	443466557	487951643	494	689851870	66
arina	chr1B	443466557	487951643	495	689851870	66
arina	chr1B	444057314	449978506	797	689851870	66
arina	chr1B	534171197	562564880	502	689851870	415
arina	chr1B	577605524	584654941	798	689851870	978
arina	chr1B	628918372	633614138	809	689851870	203
arina	chr1B	641868515	649427614	810	689851870	941
arina	chr1B	643906713	649055625	547	689851870	941
arina	chr1B	666256742	683476341	811	689851870	590
arina	chr1B	666331868	670949008	548	689851870	590
arina	chr1B	671196079	685286030	519	689851870	666
arina	chr1D	72507	5292109	894	495453186	495
arina	chr1D	72507	15512064	851	495453186	609
