Chr	Start	End	Strand	Gene	TriadGrp
chr1A	1168384	1172135	-	TraesLDM1A03G00001140	9058
chr1A	1172917	1177204	-	TraesLDM1A03G00001150	10176
chr1A	1179244	1186239	+	TraesLDM1A03G00001160	12713
chr1A	1197534	1199416	+	TraesLDM1A03G00001190	13574
chr1A	1218141	1220976	-	TraesLDM1A03G00001240	10012
chr1A	1248666	1254624	-	TraesLDM1A03G00001260	14143
chr1A	1354706	1366386	-	TraesLDM1A03G00001320	11319
chr1A	3887463	3890271	-	TraesLDM1A03G00003040	4340
chr1A	3999405	4007466	-	TraesLDM1A03G00003120	4980
chr1A	4156103	4162260	+	TraesLDM1A03G00003160	9628
chr1A	4164589	4172127	-	TraesLDM1A03G00003170	6893
chr1A	6912633	6919329	+	TraesLDM1A03G00004890	3247
chr1A	6919835	6921177	+	TraesLDM1A03G00004910	13511
chr1A	7357971	7360685	-	TraesLDM1A03G00005210	11230
chr1A	7363695	7376390	-	TraesLDM1A03G00005220	11318
chr1A	7389972	7390435	-	TraesLDM1A03G00005240	13591
chr1A	7857346	7859856	-	TraesLDM1A03G00005600	17143
chr1A	7908289	7913305	-	TraesLDM1A03G00005680	3261
chr1A	7915798	7919729	+	TraesLDM1A03G00005690	13635
chr1A	7933004	7935132	-	TraesLDM1A03G00005710	17637
chr1A	9178928	9185360	-	TraesLDM1A03G00006090	11433
chr1A	9644299	9647842	-	TraesLDM1A03G00006500	8399
chr1A	9669258	9671845	-	TraesLDM1A03G00006530	6569
chr1A	9669258	9671845	-	TraesLDM1A03G00006530	6569
chr1A	10285188	10288071	-	TraesLDM1A03G00006860	1690
chr1A	10299843	10307965	+	TraesLDM1A03G00006880	12888
chr1A	11074771	11077485	+	TraesLDM1A03G00007410	235
chr1A	11074771	11077485	+	TraesLDM1A03G00007410	235
chr1A	12431564	12439441	+	TraesLDM1A03G00008160	10692
chr1A	12485441	12489129	+	TraesLDM1A03G00008230	8247
chr1A	12485441	12489129	+	TraesLDM1A03G00008230	8247
chr1A	12959054	12961414	-	TraesLDM1A03G00008630	8627
chr1A	13236479	13241526	-	TraesLDM1A03G00008980	691
chr1A	13248988	13255032	+	TraesLDM1A03G00009000	15437
chr1A	13256609	13257889	+	TraesLDM1A03G00009020	1199
chr1A	14916088	14923959	+	TraesLDM1A03G00010050	14772
chr1A	15176848	15181875	+	TraesLDM1A03G00010310	16772
chr1A	15250802	15261315	+	TraesLDM1A03G00010370	11111
chr1A	15280923	15283135	-	TraesLDM1A03G00010430	11486
chr1A	15327358	15331220	+	TraesLDM1A03G00010490	3433
chr1A	15630641	15631834	-	TraesLDM1A03G00010630	17760
chr1A	15667900	15669322	+	TraesLDM1A03G00010650	16605
chr1A	15667900	15669322	+	TraesLDM1A03G00010650	16605
chr1A	15707496	15710723	+	TraesLDM1A03G00010720	17059
chr1A	15723058	15725082	+	TraesLDM1A03G00010730	16572
chr1A	16941753	16944786	-	TraesLDM1A03G00011380	10706
chr1A	17516035	17517831	+	TraesLDM1A03G00011580	1860
chr1A	18075308	18077852	-	TraesLDM1A03G00012010	10768
chr1A	18362016	18365859	+	TraesLDM1A03G00012100	849
chr1A	19406974	19411219	-	TraesLDM1A03G00012440	3400
chr1A	19427320	19429699	+	TraesLDM1A03G00012460	8692
chr1A	19560803	19562889	-	TraesLDM1A03G00012510	18137
chr1A	19587691	19591040	-	TraesLDM1A03G00012520	7524
chr1A	19938495	19941508	-	TraesLDM1A03G00012610	82
